[2026-07-13 02:12:26] POST /rooms → 201 (26ms)
[2026-07-13 02:12:26] GET /rooms → 200 (6ms)
[2026-07-13 02:12:26] POST /rooms → 201 (12ms)
[2026-07-13 02:12:26] POST /bookings → 201 (24ms)
[2026-07-13 02:12:26] POST /rooms → 201 (10ms)
[2026-07-13 02:12:26] POST /bookings → 201 (13ms)
[2026-07-13 02:12:26] POST /bookings → 409 (6ms)
[2026-07-13 02:12:26] POST /rooms → 201 (9ms)
[2026-07-13 02:12:26] POST /bookings → 201 (14ms)
[2026-07-13 02:12:26] DELETE /bookings/3 → 200 (10ms)
[2026-07-13 02:12:26] POST /rooms → 201 (10ms)
[2026-07-13 02:12:26] POST /rooms → 201 (12ms)
[2026-07-13 02:12:26] GET /rooms → 200 (5ms)
[2026-07-13 02:12:26] POST /bookings → 201 (11ms)
[2026-07-13 02:12:26] GET /rooms/available → 422 (4ms)
[2026-07-13 02:12:26] GET /rooms/99999 → 404 (5ms)
[2026-07-13 02:18:16] POST /rooms → 201 (23ms)
[2026-07-13 02:18:16] GET /rooms → 200 (6ms)
[2026-07-13 02:18:16] POST /rooms → 201 (12ms)
[2026-07-13 02:18:16] POST /bookings → 201 (20ms)
[2026-07-13 02:18:16] POST /rooms → 201 (11ms)
[2026-07-13 02:18:16] POST /bookings → 201 (12ms)
[2026-07-13 02:18:16] POST /bookings → 409 (6ms)
[2026-07-13 02:18:16] POST /rooms → 201 (12ms)
[2026-07-13 02:18:16] POST /bookings → 201 (13ms)
[2026-07-13 02:18:16] DELETE /bookings/7 → 200 (13ms)
[2026-07-13 02:18:16] POST /rooms → 201 (13ms)
[2026-07-13 02:18:16] POST /rooms → 201 (10ms)
[2026-07-13 02:18:16] GET /rooms → 200 (4ms)
[2026-07-13 02:18:16] POST /bookings → 201 (13ms)
[2026-07-13 02:18:16] GET /rooms/available → 422 (3ms)
[2026-07-13 02:18:17] GET /rooms/99999 → 404 (3ms)
[2026-07-13 02:22:16] POST /rooms → 201 (21ms)
[2026-07-13 02:22:16] GET /rooms → 200 (7ms)
[2026-07-13 02:22:16] POST /rooms → 201 (11ms)
[2026-07-13 02:22:16] POST /bookings → 201 (18ms)
[2026-07-13 02:22:16] POST /rooms → 201 (9ms)
[2026-07-13 02:22:16] POST /bookings → 201 (11ms)
[2026-07-13 02:22:16] POST /bookings → 409 (4ms)
[2026-07-13 02:22:16] POST /rooms → 201 (10ms)
[2026-07-13 02:22:16] POST /bookings → 201 (12ms)
[2026-07-13 02:22:16] DELETE /bookings/11 → 200 (10ms)
[2026-07-13 02:22:16] POST /rooms → 201 (14ms)
[2026-07-13 02:22:16] POST /rooms → 201 (12ms)
[2026-07-13 02:22:16] GET /rooms → 200 (4ms)
[2026-07-13 02:22:16] POST /bookings → 201 (11ms)
[2026-07-13 02:22:16] GET /rooms/available → 422 (3ms)
[2026-07-13 02:22:17] GET /rooms/99999 → 404 (5ms)
[2026-07-13 02:25:22] POST /rooms → 201 (20ms)
[2026-07-13 02:25:22] POST /rooms → 201 (9ms)
[2026-07-13 02:25:22] GET /rooms → 200 (5ms)
[2026-07-13 02:25:22] POST /bookings → 201 (18ms)
[2026-07-13 02:25:22] GET /rooms/available → 422 (3ms)
[2026-07-13 02:29:25] POST /rooms → 201 (20ms)
[2026-07-13 02:29:25] GET /rooms → 200 (5ms)
[2026-07-13 02:29:25] POST /rooms → 201 (10ms)
[2026-07-13 02:29:25] POST /bookings → 201 (17ms)
[2026-07-13 02:29:25] POST /rooms → 201 (9ms)
[2026-07-13 02:29:25] POST /bookings → 201 (12ms)
[2026-07-13 02:29:25] POST /bookings → 409 (5ms)
[2026-07-13 02:29:25] POST /rooms → 201 (9ms)
[2026-07-13 02:29:25] POST /bookings → 201 (11ms)
[2026-07-13 02:29:25] DELETE /bookings/16 → 200 (10ms)
[2026-07-13 02:29:25] POST /rooms → 201 (10ms)
[2026-07-13 02:29:25] POST /rooms → 201 (9ms)
[2026-07-13 02:29:25] GET /rooms → 200 (3ms)
[2026-07-13 02:29:25] POST /bookings → 201 (13ms)
[2026-07-13 02:29:25] GET /rooms/available → 422 (2ms)
[2026-07-13 02:29:26] GET /rooms/99999 → 404 (3ms)
